transaction_id,sender_id,receiver_id,amount_inr,date,method
T00142,P0340,P0097,10360.07,2026-06-26,UPI
T00143,P0159,P0056,1006.28,2026-08-14,CARD
T00144,P0425,P0181,4220.49,2026-05-14,UPI
T00145,P0414,P0135,4482.37,2026-02-04,CARD
T00146,P0393,P0297,6805.31,2026-02-02,CARD
T00147,P0052,P0150,1353.49,2026-08-28,UPI
T00148,P0291,P0329,1266.02,2026-02-21,UPI
T00149,P0425,P0296,5527.84,2026-04-26,BANK_TRANSFER
T00150,P0267,P0129,4617.4,2026-05-18,CARD
T00151,P0005,P0346,4448.82,2026-02-05,BANK_TRANSFER
T00152,P0244,P0038,4803.78,2026-03-15,BANK_TRANSFER
T00153,P0358,P0054,2113.25,2026-06-13,CARD
T00154,P0257,P0174,4384.38,2026-04-27,CARD
T00155,P0003,P0427,4602.97,2026-02-22,BANK_TRANSFER
T00156,P0145,P0139,2056.0,2026-08-19,BANK_TRANSFER
T00157,P0008,P0468,16197.62,2026-01-22,UPI
T00158,P0015,P0407,5319.14,2026-03-06,CARD
T00159,P0326,P0023,1403.83,2026-07-09,UPI
T00160,P0310,P0317,6156.37,2026-07-11,CARD
T00161,P0384,P0152,1669.46,2026-01-05,CARD
T00162,P0290,P0126,6834.02,2026-08-14,BANK_TRANSFER
T00163,P0165,P0065,9199.24,2026-07-21,BANK_TRANSFER
T00164,P0285,P0232,1888.34,2026-03-17,UPI
T00165,P0476,P0087,7869.12,2026-04-18,BANK_TRANSFER
T00166,P0164,P0215,5065.58,2026-03-14,UPI
T00167,P0007,P0284,7027.93,2026-01-12,CARD
T00168,P0279,P0014,16604.59,2026-02-28,CARD
T00169,P0394,P0283,2991.98,2026-01-01,CARD
T00170,P0127,P0001,1992.23,2026-01-11,UPI
T00171,P0234,P0276,1787.17,2026-03-18,BANK_TRANSFER
T00172,P0444,P0269,1895.72,2026-08-21,UPI
T00173,P0403,P0371,3423.16,2026-03-02,UPI
T00174,P0006,P0233,4783.47,2026-02-02,CARD
T00175,P0033,P0461,4543.04,2026-07-19,CARD
T00176,P0088,P0482,7056.8,2026-03-07,CARD
T00177,P0303,P0240,3679.02,2026-07-21,BANK_TRANSFER
T00178,P0086,P0058,11647.27,2026-06-09,UPI
T00179,P0179,P0436,2946.21,2026-02-19,CARD
T00180,P0031,P0229,32084.72,2026-01-27,CARD
T00181,P0459,P0065,6006.12,2026-08-24,UPI
T00182,P0318,P0340,1834.04,2026-03-27,CARD
T00183,P0305,P0158,1545.78,2026-03-22,CARD
T00184,P0210,P0111,5356.03,2026-06-18,UPI
T00185,P0157,P0299,3044.92,2026-03-23,BANK_TRANSFER
T00186,P0103,P0287,6445.91,2026-08-21,CARD
T00187,P0138,P0316,5316.6,2026-06-12,CARD
T00188,P0046,P0028,3434.88,2026-03-25,CARD
T00189,P0118,P0482,1849.3,2026-04-12,BANK_TRANSFER
T00190,P0435,P0269,1083.68,2026-06-15,UPI
T00191,P0457,P0264,2547.3,2026-04-09,BANK_TRANSFER
T00192,P0336,P0111,7223.67,2026-02-14,UPI
T00193,P0340,P0308,4321.14,2026-01-12,BANK_TRANSFER
T00194,P0492,P0467,1344.0,2026-08-12,UPI
T00195,P0010,P0358,4182.0,2026-03-19,BANK_TRANSFER
T00196,P0045,P0140,4955.5,2026-01-26,CARD
T00197,P0440,P0422,1795.28,2026-05-03,BANK_TRANSFER
T00198,P0240,P0290,4117.41,2026-06-21,CARD
T00199,P0081,P0334,3814.51,2026-01-06,BANK_TRANSFER
T00200,P0306,P0400,1459.17,2026-02-09,BANK_TRANSFER
T00201,P0436,P0135,4847.56,2026-02-26,UPI
T00202,P0288,P0488,5702.32,2026-02-16,CARD
T00203,P0083,P0263,8659.75,2026-05-11,CARD
T00204,P0155,P0275,8459.47,2026-08-09,CARD
T00205,P0132,P0022,1209.38,2026-01-19,UPI
T00206,P0216,P0095,1719.42,2026-07-12,CARD
T00207,P0277,P0431,5497.39,2026-01-16,CARD
T00208,P0095,P0011,5491.9,2026-01-18,CARD
T00209,P0339,P0012,5497.44,2026-06-15,UPI
T00210,P0042,P0292,79394.56,2026-08-10,UPI
T00211,P0494,P0391,5748.6,2026-06-15,BANK_TRANSFER
T00212,P0352,P0076,9031.31,2026-03-11,BANK_TRANSFER
T00213,P0420,P0464,7810.32,2026-06-28,CARD
T00214,P0216,P0257,6131.0,2026-01-23,CARD
T00215,P0281,P0138,2829.3,2026-07-27,CARD
T00216,P0374,P0007,6682.02,2026-01-04,BANK_TRANSFER
T00217,P0356,P0335,1962.04,2026-02-05,UPI
T00218,P0195,P0439,3012.56,2026-03-09,CARD
T00219,P0096,P0151,2469.35,2026-05-26,BANK_TRANSFER
T00220,P0348,P0020,3887.41,2026-01-05,BANK_TRANSFER
T00221,P0060,P0293,23195.81,2026-01-13,CARD
T00222,P0230,P0463,817.45,2026-03-10,CARD
T00223,P0138,P0400,6304.43,2026-07-02,CARD
T00224,P0481,P0185,1002.07,2026-08-23,BANK_TRANSFER
T00225,P0460,P0082,2496.02,2026-05-18,BANK_TRANSFER
T00226,P0249,P0148,8700.71,2026-08-13,UPI
T00227,P0488,P0460,3833.08,2026-01-22,CARD
T00228,P0109,P0171,1537.33,2026-08-05,CARD
T00229,P0275,P0309,2054.44,2026-01-20,UPI
T00230,P0440,P0402,6270.92,2026-01-02,CARD
T00231,P0354,P0425,2029.83,2026-07-08,BANK_TRANSFER
T00232,P0329,P0236,4329.32,2026-05-21,CARD
T00233,P0042,P0259,3776.14,2026-01-27,BANK_TRANSFER
T00234,P0456,P0397,2161.85,2026-03-02,CARD
T00235,P0079,P0081,20234.72,2026-04-01,BANK_TRANSFER
T00236,P0400,P0445,6045.9,2026-08-12,BANK_TRANSFER
T00237,P0128,P0110,720.46,2026-07-18,CARD
T00238,P0385,P0096,4226.64,2026-08-13,BANK_TRANSFER
T00239,P0491,P0231,2144.31,2026-06-24,BANK_TRANSFER
T00240,P0178,P0072,7200.79,2026-06-17,BANK_TRANSFER
T00241,P0286,P0166,1931.37,2026-07-18,BANK_TRANSFER
T00242,P0013,P0372,3321.63,2026-07-25,BANK_TRANSFER
T00243,P0137,P0496,5453.37,2026-08-17,UPI
T00244,P0337,P0206,7277.95,2026-05-28,CARD
T00245,P0243,P0058,1393.76,2026-04-02,UPI
T00246,P0028,P0090,2786.1,2026-06-12,BANK_TRANSFER
T00247,P0208,P0329,2490.01,2026-05-11,UPI
T00248,P0123,P0147,2158.86,2026-08-20,CARD
T00249,P0179,P0070,14948.46,2026-05-21,CARD
T00250,P0500,P0261,5034.08,2026-05-10,BANK_TRANSFER
T00251,P0004,P0147,1327.82,2026-02-23,CARD
T00252,P0160,P0191,7587.74,2026-01-11,CARD
T00253,P0382,P0198,19885.08,2026-04-25,UPI
T00254,P0247,P0021,8316.3,2026-07-20,BANK_TRANSFER
T00255,P0333,P0055,1079.77,2026-02-17,UPI
T00256,P0303,P0202,2471.58,2026-02-07,CARD
T00257,P0331,P0226,10031.94,2026-06-21,CARD
T00258,P0179,P0167,2067.02,2026-05-06,UPI
T00259,P0295,P0269,5192.94,2026-02-22,UPI
T00260,P0127,P0453,6766.28,2026-03-10,UPI
T00261,P0316,P0342,1734.47,2026-08-28,BANK_TRANSFER
T00262,P0369,P0045,3471.63,2026-02-17,UPI
T00263,P0441,P0056,272.32,2026-07-15,CARD
T00264,P0402,P0236,1604.38,2026-05-27,UPI
T00265,P0195,P0027,2974.84,2026-05-18,CARD
T00266,P0498,P0002,1341.81,2026-06-20,UPI
T00267,P0225,P0051,13439.17,2026-05-08,CARD
T00268,P0213,P0294,1159.67,2026-05-16,BANK_TRANSFER
T00269,P0310,P0106,2560.52,2026-05-25,BANK_TRANSFER
T00270,P0200,P0357,4042.39,2026-04-23,CARD
T00271,P0214,P0042,11533.59,2026-07-21,CARD
T00272,P0047,P0359,1154.37,2026-08-26,BANK_TRANSFER
T00273,P0197,P0158,9232.92,2026-06-17,CARD
T00274,P0029,P0277,3670.88,2026-05-07,UPI
T00275,P0405,P0317,1660.37,2026-07-21,BANK_TRANSFER
T00276,P0084,P0372,5269.46,2026-02-23,BANK_TRANSFER
T00277,P0429,P0289,4269.48,2026-01-21,UPI
T00278,P0441,P0165,2252.57,2026-04-22,UPI
T00279,P0069,P0215,3850.05,2026-01-12,BANK_TRANSFER
T00280,P0357,P0434,2675.12,2026-08-10,UPI
T00281,P0072,P0465,3987.08,2026-05-11,CARD
T00282,P0189,P0276,6183.9,2026-08-14,CARD
T00283,P0165,P0192,12949.51,2026-02-21,UPI
T00284,P0213,P0265,1352.55,2026-02-08,UPI
T00285,P0254,P0266,20058.87,2026-04-15,UPI
T00286,P0056,P0401,763.82,2026-04-12,CARD
T00287,P0471,P0158,3224.62,2026-02-06,CARD
T00288,P0121,P0392,5829.31,2026-05-11,CARD
T00289,P0368,P0089,4558.7,2026-04-06,BANK_TRANSFER
T00290,P0355,P0265,2212.42,2026-01-24,UPI
T00291,P0148,P0178,3082.52,2026-06-27,BANK_TRANSFER
T00292,P0040,P0470,2454.31,2026-02-25,BANK_TRANSFER
T00293,P0092,P0416,2272.21,2026-08-09,UPI
T00294,P0171,P0053,7184.5,2026-05-20,UPI
T00295,P0264,P0421,4844.56,2026-07-07,UPI
T00296,P0254,P0359,2091.57,2026-01-05,UPI
T00297,P0052,P0238,7477.7,2026-05-21,UPI
T00298,P0067,P0269,4655.66,2026-02-02,BANK_TRANSFER
T00299,P0002,P0400,6976.41,2026-08-13,UPI
T00300,P0426,P0152,6025.18,2026-05-07,UPI
T00301,P0144,P0349,1875.83,2026-07-01,UPI
T00302,P0333,P0495,2325.88,2026-07-07,UPI
T00303,P0371,P0188,6619.9,2026-07-09,UPI
T00304,P0364,P0207,5933.06,2026-03-19,CARD
T00305,P0340,P0483,3580.58,2026-08-02,UPI
T00306,P0170,P0078,3999.25,2026-02-12,CARD
T00307,P0370,P0449,10118.61,2026-02-09,CARD
T00308,P0328,P0490,2268.2,2026-04-12,UPI
T00309,P0244,P0067,5640.22,2026-04-22,BANK_TRANSFER
T00310,P0473,P0260,3097.18,2026-06-02,BANK_TRANSFER
T00311,P0374,P0382,3059.04,2026-05-18,BANK_TRANSFER
T00312,P0087,P0199,8769.38,2026-01-21,UPI
T00313,P0421,P0370,7046.83,2026-04-11,BANK_TRANSFER
T00314,P0336,P0241,6980.02,2026-03-06,BANK_TRANSFER
T00315,P0019,P0457,10346.29,2026-06-24,BANK_TRANSFER
T00316,P0412,P0417,3702.65,2026-04-02,BANK_TRANSFER
T00317,P0459,P0040,6282.75,2026-02-08,CARD
T00318,P0009,P0003,2840.65,2026-05-12,CARD
T00319,P0272,P0468,4718.91,2026-03-16,BANK_TRANSFER
T00320,P0433,P0325,3280.94,2026-03-07,BANK_TRANSFER
T00321,P0027,P0260,3934.73,2026-08-02,BANK_TRANSFER
T00322,P0215,P0288,5861.29,2026-04-08,BANK_TRANSFER
T00323,P0188,P0487,1892.06,2026-06-13,UPI
T00324,P0261,P0190,19417.11,2026-02-17,UPI
T00325,P0285,P0134,1628.13,2026-04-20,CARD
T00326,P0399,P0225,1378.36,2026-05-17,BANK_TRANSFER
T00327,P0297,P0287,9195.68,2026-01-02,BANK_TRANSFER
T00328,P0367,P0185,6859.09,2026-08-23,UPI
T00329,P0423,P0443,5998.69,2026-04-17,UPI
T00330,P0236,P0320,6019.0,2026-03-13,CARD
T00331,P0199,P0001,3605.45,2026-05-01,BANK_TRANSFER
T00332,P0129,P0234,1776.14,2026-06-01,UPI
T00333,P0233,P0414,3868.58,2026-06-01,BANK_TRANSFER
T00334,P0212,P0348,2118.09,2026-07-12,BANK_TRANSFER
T00335,P0265,P0305,7943.39,2026-01-21,BANK_TRANSFER
T00336,P0166,P0274,3236.84,2026-07-28,CARD
T00337,P0255,P0444,1881.08,2026-03-06,UPI
T00338,P0087,P0149,2815.49,2026-03-02,BANK_TRANSFER
T00339,P0123,P0010,5066.19,2026-01-13,UPI
T00340,P0354,P0033,2319.3,2026-02-28,UPI
T00341,P0424,P0220,1886.02,2026-08-27,UPI
T00342,P0379,P0435,4424.66,2026-04-13,UPI
T00343,P0175,P0303,4429.2,2026-02-25,CARD
T00344,P0409,P0412,2427.08,2026-02-28,BANK_TRANSFER
T00345,P0368,P0076,2497.81,2026-01-27,UPI
T00346,P0281,P0204,4383.66,2026-02-05,UPI
T00347,P0111,P0081,1143.14,2026-07-22,UPI
T00348,P0139,P0002,1180.9,2026-03-21,BANK_TRANSFER
T00349,P0477,P0169,2049.28,2026-05-05,UPI
T00350,P0134,P0378,3069.42,2026-03-06,BANK_TRANSFER
T00351,P0123,P0012,4669.12,2026-03-08,CARD
T00352,P0068,P0397,11852.39,2026-01-01,UPI
T00353,P0050,P0098,7230.96,2026-03-15,CARD
T00354,P0481,P0310,3203.66,2026-03-18,CARD
T00355,P0345,P0083,3585.98,2026-05-22,UPI
T00356,P0171,P0032,1632.68,2026-08-19,UPI
T00357,P0366,P0478,3587.42,2026-04-11,UPI
T00358,P0389,P0083,2890.18,2026-06-13,UPI
T00359,P0326,P0482,4713.45,2026-08-14,UPI
T00360,P0302,P0144,1878.47,2026-05-14,CARD
T00361,P0250,P0410,5516.38,2026-07-10,UPI
T00362,P0461,P0394,12409.17,2026-08-15,CARD
T00363,P0479,P0186,3337.55,2026-04-13,UPI
T00364,P0464,P0141,5020.92,2026-01-18,UPI
T00365,P0001,P0329,6324.05,2026-08-02,CARD
T00366,P0028,P0201,2641.29,2026-04-08,BANK_TRANSFER
T00367,P0029,P0066,4355.85,2026-08-07,UPI
T00368,P0370,P0497,3677.81,2026-06-14,BANK_TRANSFER
T00369,P0430,P0371,3936.87,2026-03-14,UPI
T00370,P0251,P0382,1961.75,2026-04-14,UPI
T00371,P0301,P0075,3713.05,2026-05-11,CARD
T00372,P0343,P0280,5422.97,2026-08-23,BANK_TRANSFER
T00373,P0443,P0233,11625.02,2026-04-18,CARD
T00374,P0380,P0094,7843.31,2026-05-07,CARD
T00375,P0080,P0033,20384.82,2026-05-14,UPI
T00376,P0305,P0082,1970.66,2026-03-06,UPI
T00377,P0485,P0272,7316.27,2026-04-07,CARD
T00378,P0370,P0403,4216.13,2026-02-07,CARD
T00379,P0481,P0476,20990.86,2026-06-06,CARD
T00380,P0084,P0112,1907.14,2026-06-20,UPI
T00381,P0198,P0075,1859.8,2026-08-22,UPI
T00382,P0395,P0298,2254.05,2026-05-27,UPI
T00383,P0450,P0369,665.73,2026-02-09,BANK_TRANSFER
T00384,P0039,P0088,2390.83,2026-05-11,UPI
T00385,P0095,P0303,1983.65,2026-03-09,BANK_TRANSFER
T00386,P0199,P0227,4106.45,2026-01-17,CARD
T00387,P0422,P0331,4785.78,2026-04-19,CARD
T00388,P0117,P0464,16332.9,2026-06-02,BANK_TRANSFER
T00389,P0213,P0466,7788.0,2026-03-23,CARD
T00390,P0355,P0097,2294.97,2026-04-21,BANK_TRANSFER
T00391,P0143,P0058,1774.49,2026-06-07,BANK_TRANSFER
T00392,P0284,P0420,5396.66,2026-04-07,CARD
T00393,P0268,P0229,1266.25,2026-06-26,CARD
T00394,P0041,P0375,15759.0,2026-01-11,UPI
T00395,P0391,P0017,9353.93,2026-05-11,CARD
T00396,P0247,P0186,2501.53,2026-06-02,CARD
T00397,P0359,P0095,924.72,2026-06-26,BANK_TRANSFER
T00398,P0067,P0116,10754.7,2026-03-24,CARD
T00399,P0349,P0098,3322.15,2026-01-01,BANK_TRANSFER
T00400,P0003,P0287,9801.13,2026-07-28,UPI
T00401,P0286,P0224,1016.84,2026-05-17,BANK_TRANSFER
T00402,P0202,P0349,2254.09,2026-08-10,BANK_TRANSFER
T00403,P0369,P0323,3656.26,2026-06-06,CARD
T00404,P0318,P0051,3780.4,2026-05-18,UPI
T00405,P0379,P0188,2540.07,2026-07-28,BANK_TRANSFER
T00406,P0022,P0285,5992.6,2026-07-19,UPI
T00407,P0341,P0430,1549.83,2026-03-15,CARD
T00408,P0001,P0383,3248.98,2026-03-11,UPI
T00409,P0347,P0350,4008.76,2026-06-26,CARD
T00410,P0343,P0362,5494.76,2026-05-21,UPI
T00411,P0408,P0057,6433.62,2026-01-25,BANK_TRANSFER
T00412,P0182,P0379,1480.72,2026-07-06,CARD
T00413,P0156,P0037,1067.11,2026-03-14,CARD
T00414,P0209,P0229,10118.71,2026-07-21,CARD
T00415,P0014,P0403,4749.77,2026-05-02,CARD
T00416,P0161,P0292,2000.62,2026-07-10,BANK_TRANSFER
T00417,P0019,P0128,12593.32,2026-04-14,BANK_TRANSFER
T00418,P0088,P0431,3993.96,2026-05-27,BANK_TRANSFER
T00419,P0389,P0102,9352.86,2026-03-01,BANK_TRANSFER
T00420,P0164,P0139,3843.02,2026-04-05,BANK_TRANSFER
T00421,P0325,P0035,18931.8,2026-05-08,BANK_TRANSFER
T00422,P0445,P0031,14828.0,2026-04-16,UPI
T00423,P0177,P0077,2983.43,2026-05-07,UPI
T00424,P0023,P0312,7920.87,2026-02-11,CARD
T00425,P0432,P0480,6101.57,2026-07-18,UPI
T00426,P0334,P0467,10882.43,2026-01-20,CARD
T00427,P0187,P0124,1682.54,2026-02-24,UPI
T00428,P0084,P0187,6303.38,2026-03-24,BANK_TRANSFER
T00429,P0142,P0301,8490.81,2026-08-10,BANK_TRANSFER
T00430,P0282,P0238,891.59,2026-01-14,BANK_TRANSFER
T00431,P0334,P0321,1412.89,2026-07-10,BANK_TRANSFER
T00432,P0084,P0260,712.38,2026-07-21,UPI
T00433,P0019,P0239,2935.03,2026-01-15,CARD
T00434,P0041,P0377,6464.2,2026-01-24,UPI
T00435,P0376,P0019,12111.2,2026-02-05,BANK_TRANSFER
T00436,P0430,P0497,3863.3,2026-05-17,UPI
T00437,P0191,P0201,13398.42,2026-05-05,UPI
T00438,P0058,P0379,1207.03,2026-08-10,CARD
T00439,P0301,P0335,931.96,2026-01-01,BANK_TRANSFER
T00440,P0132,P0300,3482.7,2026-02-27,UPI
T00441,P0337,P0497,4950.54,2026-01-15,UPI
T00442,P0358,P0099,3546.95,2026-02-24,BANK_TRANSFER
T00443,P0470,P0292,696.49,2026-03-01,BANK_TRANSFER
T00444,P0292,P0308,3390.4,2026-04-01,CARD
T00445,P0491,P0213,1282.32,2026-05-02,BANK_TRANSFER
T00446,P0044,P0067,6221.32,2026-02-02,BANK_TRANSFER
T00447,P0021,P0344,4881.85,2026-05-22,UPI
T00448,P0039,P0015,1716.59,2026-06-12,UPI
T00449,P0112,P0046,2413.68,2026-06-24,CARD
T00450,P0263,P0234,1560.29,2026-06-02,BANK_TRANSFER
T00451,P0213,P0008,3462.88,2026-07-15,BANK_TRANSFER
T00452,P0332,P0060,7817.45,2026-05-04,BANK_TRANSFER
T00453,P0268,P0117,1654.77,2026-06-03,BANK_TRANSFER
T00454,P0207,P0011,5449.27,2026-06-04,BANK_TRANSFER
T00455,P0369,P0068,2382.23,2026-08-16,UPI
T00456,P0351,P0080,1930.82,2026-02-11,UPI
T00457,P0277,P0199,3342.17,2026-02-04,BANK_TRANSFER
T00458,P0063,P0061,1590.5,2026-02-23,BANK_TRANSFER
T00459,P0090,P0443,2338.07,2026-08-28,UPI
