cdr_id,caller_id,receiver_id,timestamp,duration_seconds
C00291,P0079,P0148,2026-03-05 00:04,52
C00292,P0393,P0378,2026-03-03 04:41,871
C00293,P0458,P0404,2026-07-20 05:29,1063
C00294,P0375,P0373,2026-04-06 13:38,35
C00295,P0196,P0183,2026-05-14 17:36,771
C00296,P0037,P0031,2026-06-04 18:30,183
C00297,P0449,P0450,2026-05-15 16:05,1091
C00298,P0046,P0126,2026-08-21 23:42,179
C00299,P0438,P0420,2026-01-11 17:49,42
C00300,P0431,P0437,2026-06-14 11:51,623
C00301,P0045,P0039,2026-05-24 18:16,145
C00302,P0461,P0487,2026-01-22 09:51,75
C00303,P0059,P0083,2026-02-28 08:16,291
C00304,P0217,P0201,2026-02-20 05:58,329
C00305,P0262,P0267,2026-04-16 05:51,1100
C00306,P0176,P0044,2026-03-20 04:53,1035
C00307,P0212,P0395,2026-07-08 21:28,362
C00308,P0254,P0292,2026-05-25 03:03,363
C00309,P0370,P0381,2026-04-13 21:45,818
C00310,P0134,P0128,2026-01-10 14:24,666
C00311,P0350,P0490,2026-01-04 17:40,744
C00312,P0222,P0313,2026-05-11 08:17,221
C00313,P0476,P0480,2026-04-24 21:37,419
C00314,P0121,P0136,2026-01-22 00:53,159
C00315,P0084,P0057,2026-08-12 07:46,600
C00316,P0002,P0040,2026-02-02 19:42,464
C00317,P0327,P0063,2026-02-03 19:08,789
C00318,P0462,P0458,2026-03-09 09:29,175
C00319,P0250,P0228,2026-06-09 05:49,171
C00320,P0025,P0022,2026-01-09 08:11,922
C00321,P0190,P0176,2026-03-21 15:06,314
C00322,P0314,P0340,2026-02-15 22:16,231
C00323,P0087,P0097,2026-05-25 14:01,1039
C00324,P0003,P0043,2026-07-09 04:44,695
C00325,P0295,P0002,2026-08-16 13:25,163
C00326,P0025,P0045,2026-08-04 18:34,755
C00327,P0226,P0204,2026-02-12 17:54,716
C00328,P0399,P0400,2026-05-21 06:11,1155
C00329,P0343,P0313,2026-05-23 12:57,238
C00330,P0282,P0256,2026-08-24 06:08,93
C00331,P0466,P0482,2026-07-03 17:41,650
C00332,P0352,P0353,2026-06-02 10:50,107
C00333,P0192,P0193,2026-08-22 17:09,497
C00334,P0019,P0377,2026-03-16 20:01,985
C00335,P0317,P0024,2026-04-23 20:08,49
C00336,P0020,P0007,2026-08-20 05:53,150
C00337,P0055,P0059,2026-08-20 19:14,149
C00338,P0219,P0173,2026-07-11 03:43,1199
C00339,P0264,P0299,2026-01-19 05:21,149
C00340,P0149,P0127,2026-03-23 11:35,357
C00341,P0453,P0459,2026-02-26 20:39,790
C00342,P0009,P0451,2026-08-03 00:00,387
C00343,P0362,P0334,2026-05-14 22:51,994
C00344,P0160,P0191,2026-05-17 14:26,509
C00345,P0313,P0355,2026-01-20 05:45,1043
C00346,P0091,P0070,2026-06-14 00:35,502
C00347,P0407,P0440,2026-06-28 17:32,469
C00348,P0168,P0154,2026-04-04 04:43,991
C00349,P0143,P0103,2026-01-21 11:18,449
C00350,P0290,P0299,2026-08-02 03:47,127
C00351,P0091,P0081,2026-01-16 16:07,165
C00352,P0370,P0228,2026-06-14 06:47,687
C00353,P0071,P0065,2026-02-08 23:26,429
C00354,P0155,P0181,2026-08-02 13:09,462
C00355,P0233,P0092,2026-07-12 04:29,417
C00356,P0213,P0222,2026-03-02 22:36,142
C00357,P0080,P0077,2026-03-25 10:14,624
C00358,P0461,P0487,2026-04-03 13:54,1088
C00359,P0188,P0181,2026-08-09 00:46,896
C00360,P0127,P0168,2026-07-19 07:57,325
C00361,P0460,P0003,2026-07-02 01:30,1052
C00362,P0426,P0431,2026-02-15 15:15,190
C00363,P0045,P0047,2026-07-07 04:22,625
C00364,P0052,P0081,2026-05-06 22:29,1188
C00365,P0013,P0500,2026-08-15 04:55,850
C00366,P0291,P0280,2026-01-28 20:04,808
C00367,P0171,P0272,2026-01-10 13:48,572
C00368,P0485,P0487,2026-04-26 21:05,707
C00369,P0029,P0264,2026-06-02 03:24,768
C00370,P0024,P0012,2026-02-18 22:49,439
C00371,P0266,P0285,2026-02-21 15:47,449
C00372,P0390,P0116,2026-06-12 08:32,886
C00373,P0074,P0073,2026-08-16 16:33,271
C00374,P0444,P0435,2026-05-15 19:23,154
C00375,P0356,P0376,2026-03-10 02:06,357
C00376,P0132,P0110,2026-04-17 20:01,620
C00377,P0409,P0431,2026-06-14 14:47,63
C00378,P0052,P0065,2026-06-14 18:21,688
C00379,P0436,P0429,2026-08-10 18:08,647
C00380,P0215,P0231,2026-06-10 01:09,743
C00381,P0140,P0111,2026-05-06 05:53,334
C00382,P0053,P0071,2026-03-15 08:23,397
C00383,P0043,P0021,2026-06-05 11:28,1125
C00384,P0274,P0155,2026-02-01 12:59,1042
C00385,P0486,P0235,2026-06-05 00:47,1138
C00386,P0170,P0332,2026-05-16 09:48,1194
C00387,P0497,P0479,2026-06-23 03:46,1000
C00388,P0072,P0348,2026-02-10 00:25,471
C00389,P0071,P0054,2026-04-19 16:14,589
C00390,P0085,P0079,2026-02-17 12:12,1024
C00391,P0483,P0454,2026-06-13 04:45,895
C00392,P0251,P0269,2026-06-12 09:28,1168
C00393,P0398,P0377,2026-08-10 05:51,888
C00394,P0213,P0072,2026-02-05 06:19,992
C00395,P0269,P0172,2026-02-19 12:05,33
C00396,P0227,P0212,2026-08-23 18:48,300
C00397,P0319,P0336,2026-08-02 09:53,642
C00398,P0365,P0352,2026-01-05 08:19,987
C00399,P0227,P0212,2026-08-23 20:15,78
C00400,P0232,P0205,2026-06-19 15:36,913
C00401,P0322,P0352,2026-08-23 03:23,1069
C00402,P0009,P0433,2026-05-06 18:03,319
C00403,P0123,P0111,2026-01-09 11:26,749
C00404,P0234,P0241,2026-02-17 06:49,395
C00405,P0307,P0386,2026-03-18 10:55,667
C00406,P0351,P0410,2026-05-09 21:44,762
C00407,P0473,P0460,2026-01-05 16:18,783
C00408,P0211,P0175,2026-03-04 06:09,1050
C00409,P0186,P0190,2026-02-14 14:58,176
C00410,P0102,P0131,2026-06-10 22:23,304
C00411,P0456,P0306,2026-06-06 22:19,78
C00412,P0061,P0114,2026-03-28 22:09,484
C00413,P0159,P0156,2026-07-23 03:04,58
C00414,P0388,P0221,2026-01-07 03:02,1071
C00415,P0358,P0367,2026-01-03 09:42,41
C00416,P0401,P0064,2026-04-19 06:11,739
C00417,P0148,P0118,2026-06-12 05:54,1045
C00418,P0314,P0124,2026-02-04 18:48,48
C00419,P0169,P0161,2026-01-24 03:59,458
C00420,P0436,P0363,2026-08-12 22:37,399
C00421,P0062,P0073,2026-07-14 06:32,486
C00422,P0258,P0280,2026-02-17 04:31,759
C00423,P0447,P0403,2026-02-11 15:07,808
C00424,P0498,P0470,2026-08-08 17:26,615
C00425,P0220,P0097,2026-02-27 15:43,772
C00426,P0394,P0357,2026-07-15 16:42,194
C00427,P0326,P0345,2026-02-24 05:04,764
C00428,P0174,P0103,2026-07-04 07:53,889
C00429,P0143,P0392,2026-05-25 20:25,749
C00430,P0476,P0482,2026-05-05 14:06,270
C00431,P0365,P0391,2026-03-01 03:47,128
C00432,P0256,P0348,2026-01-06 12:38,689
C00433,P0490,P0457,2026-02-22 16:49,1028
C00434,P0104,P0151,2026-08-16 16:16,1130
C00435,P0435,P0402,2026-01-14 03:24,941
C00436,P0329,P0330,2026-01-02 05:35,640
C00437,P0085,P0252,2026-07-05 09:45,816
C00438,P0087,P0094,2026-08-22 17:43,1124
C00439,P0386,P0361,2026-01-13 08:31,793
C00440,P0300,P0269,2026-06-02 00:37,112
C00441,P0273,P0298,2026-01-25 20:21,799
C00442,P0273,P0277,2026-06-02 21:15,527
C00443,P0238,P0206,2026-02-28 09:07,711
C00444,P0421,P0403,2026-08-22 13:36,1074
C00445,P0137,P0011,2026-08-19 00:20,793
C00446,P0287,P0257,2026-08-04 22:43,441
C00447,P0449,P0443,2026-06-06 19:19,764
C00448,P0104,P0255,2026-02-27 17:13,608
C00449,P0237,P0226,2026-04-20 23:05,214
C00450,P0205,P0237,2026-08-14 06:22,177
C00451,P0233,P0220,2026-07-22 17:20,429
C00452,P0240,P0233,2026-08-22 17:11,58
C00453,P0412,P0437,2026-08-07 21:52,977
C00454,P0440,P0450,2026-07-19 23:40,142
C00455,P0280,P0260,2026-04-05 23:43,634
C00456,P0211,P0164,2026-02-21 06:54,864
C00457,P0242,P0211,2026-05-22 19:15,851
C00458,P0113,P0102,2026-04-26 09:29,1014
C00459,P0328,P0342,2026-01-07 05:17,299
C00460,P0243,P0236,2026-03-21 01:46,1015
C00461,P0029,P0441,2026-02-11 19:19,150
C00462,P0209,P0460,2026-06-22 21:56,204
C00463,P0116,P0108,2026-02-17 21:53,1095
C00464,P0066,P0089,2026-02-25 10:21,818
C00465,P0381,P0121,2026-07-07 04:06,378
C00466,P0229,P0227,2026-05-28 18:03,1024
C00467,P0071,P0085,2026-07-16 21:15,588
C00468,P0480,P0075,2026-06-16 22:23,651
C00469,P0453,P0498,2026-01-23 21:15,538
C00470,P0241,P0245,2026-06-26 21:07,1115
C00471,P0440,P0227,2026-07-01 12:59,543
C00472,P0170,P0164,2026-03-15 20:20,852
C00473,P0141,P0444,2026-02-27 15:30,865
C00474,P0171,P0368,2026-07-27 03:52,348
C00475,P0405,P0423,2026-07-20 23:52,1141
C00476,P0233,P0356,2026-01-25 01:41,396
C00477,P0101,P0126,2026-04-21 09:20,1199
C00478,P0116,P0134,2026-03-28 19:43,860
C00479,P0164,P0232,2026-08-28 23:08,553
C00480,P0471,P0469,2026-04-03 13:23,392
C00481,P0337,P0315,2026-01-01 17:41,488
C00482,P0499,P0237,2026-04-09 22:54,365
C00483,P0478,P0489,2026-05-05 02:23,368
C00484,P0061,P0008,2026-07-25 14:52,1032
C00485,P0163,P0168,2026-05-24 15:24,286
C00486,P0189,P0164,2026-05-24 21:12,876
C00487,P0102,P0119,2026-05-08 19:28,528
C00488,P0356,P0351,2026-08-05 10:44,834
C00489,P0346,P0328,2026-05-03 03:35,140
C00490,P0181,P0173,2026-01-01 08:32,800
C00491,P0343,P0324,2026-03-18 01:37,387
C00492,P0432,P0422,2026-08-05 02:20,1106
C00493,P0208,P0221,2026-01-05 15:55,595
C00494,P0475,P0221,2026-05-09 19:53,560
C00495,P0311,P0321,2026-08-25 04:35,921
C00496,P0104,P0115,2026-03-02 15:16,354
C00497,P0308,P0332,2026-01-15 11:45,1168
C00498,P0358,P0397,2026-03-04 11:05,437
C00499,P0093,P0428,2026-03-24 16:52,578
C00500,P0464,P0488,2026-01-17 18:11,872
C00501,P0127,P0394,2026-08-22 03:56,693
C00502,P0076,P0074,2026-02-27 10:09,79
C00503,P0380,P0391,2026-05-20 21:00,694
C00504,P0336,P0319,2026-08-11 23:46,1185
C00505,P0042,P0019,2026-06-26 01:47,164
C00506,P0475,P0456,2026-07-09 05:15,836
C00507,P0161,P0175,2026-07-10 20:48,335
C00508,P0378,P0398,2026-05-22 19:08,755
C00509,P0283,P0263,2026-08-15 12:30,569
C00510,P0306,P0349,2026-07-26 11:39,401
C00511,P0306,P0303,2026-06-15 21:14,337
C00512,P0270,P0323,2026-02-10 14:27,182
C00513,P0245,P0154,2026-03-05 21:57,635
C00514,P0268,P0219,2026-05-19 01:35,176
C00515,P0263,P0056,2026-07-14 03:29,1184
C00516,P0182,P0131,2026-02-25 16:01,253
C00517,P0237,P0092,2026-03-27 12:02,190
C00518,P0221,P0238,2026-08-25 21:28,562
C00519,P0114,P0112,2026-02-24 19:16,237
C00520,P0001,P0026,2026-02-01 05:41,997
C00521,P0343,P0348,2026-08-10 19:52,758
C00522,P0320,P0306,2026-03-05 00:12,249
C00523,P0357,P0497,2026-04-28 00:13,1005
C00524,P0178,P0191,2026-04-03 09:49,969
C00525,P0302,P0308,2026-03-05 23:44,931
C00526,P0242,P0011,2026-08-19 07:12,623
C00527,P0304,P0322,2026-01-04 20:54,904
C00528,P0435,P0254,2026-05-02 15:25,1015
C00529,P0494,P0482,2026-04-23 01:33,58
C00530,P0286,P0255,2026-05-21 13:56,989
C00531,P0492,P0473,2026-08-23 13:01,350
C00532,P0181,P0173,2026-08-08 16:14,714
C00533,P0437,P0432,2026-08-05 09:46,819
C00534,P0427,P0482,2026-06-26 15:51,351
C00535,P0245,P0248,2026-02-22 15:08,374
C00536,P0482,P0457,2026-07-16 09:15,448
C00537,P0023,P0017,2026-06-22 05:11,1051
C00538,P0072,P0078,2026-02-20 07:07,1170
C00539,P0222,P0223,2026-01-25 17:17,329
C00540,P0448,P0264,2026-02-23 01:59,916
C00541,P0493,P0431,2026-02-04 19:39,228
C00542,P0022,P0260,2026-02-06 20:07,440
C00543,P0081,P0373,2026-05-23 14:48,1056
C00544,P0060,P0092,2026-06-11 04:07,433
C00545,P0350,P0301,2026-04-27 15:21,607
C00546,P0068,P0074,2026-07-12 20:42,522
C00547,P0427,P0415,2026-03-26 13:26,858
C00548,P0488,P0437,2026-06-01 14:09,40
C00549,P0405,P0406,2026-06-11 12:49,356
C00550,P0349,P0303,2026-03-19 01:40,1084
C00551,P0215,P0206,2026-05-24 23:20,724
C00552,P0234,P0240,2026-03-23 12:28,440
C00553,P0320,P0404,2026-08-23 11:56,848
