vehicle_id,owner_id,registration,vehicle_type
V0205,P0190,SYN-4056-205,SUV
V0206,P0023,SYN-5313-206,SUV
V0207,P0239,SYN-5315-207,Motorcycle
V0208,P0429,SYN-5400-208,Car
V0209,P0078,SYN-2584-209,Car
V0210,P0343,SYN-6632-210,SUV
V0211,P0498,SYN-4727-211,Car
V0212,P0431,SYN-7342-212,SUV
V0213,P0495,SYN-9773-213,SUV
V0214,P0294,SYN-4860-214,SUV
V0215,P0154,SYN-2293-215,SUV
V0216,P0463,SYN-1568-216,Motorcycle
V0217,P0062,SYN-8357-217,Motorcycle
V0218,P0486,SYN-3738-218,Motorcycle
V0219,P0414,SYN-4157-219,Motorcycle
V0220,P0022,SYN-7936-220,Car
V0221,P0350,SYN-8133-221,Motorcycle
V0222,P0422,SYN-3422-222,Van
V0223,P0164,SYN-2097-223,Car
V0224,P0199,SYN-7510-224,Van
V0225,P0439,SYN-5525-225,SUV
V0226,P0470,SYN-1202-226,SUV
V0227,P0058,SYN-7790-227,Motorcycle
V0228,P0076,SYN-2641-228,Car
V0229,P0289,SYN-2654-229,Van
V0230,P0445,SYN-9775-230,Van
V0231,P0450,SYN-7732-231,Van
V0232,P0197,SYN-8955-232,SUV
V0233,P0020,SYN-3821-233,Van
V0234,P0207,SYN-3356-234,SUV
V0235,P0020,SYN-7484-235,Van
V0236,P0354,SYN-4892-236,Car
V0237,P0382,SYN-8785-237,Van
V0238,P0460,SYN-7102-238,Car
V0239,P0173,SYN-5965-239,Van
V0240,P0144,SYN-9054-240,Car
V0241,P0498,SYN-4734-241,Motorcycle
V0242,P0154,SYN-8259-242,Van
V0243,P0138,SYN-7828-243,Car
V0244,P0097,SYN-8237-244,Motorcycle
V0245,P0468,SYN-7671-245,SUV
V0246,P0389,SYN-9462-246,Van
V0247,P0421,SYN-1920-247,Motorcycle
V0248,P0034,SYN-6097-248,SUV
V0249,P0070,SYN-9589-249,Car
V0250,P0089,SYN-4158-250,Motorcycle
V0251,P0429,SYN-1944-251,Motorcycle
V0252,P0017,SYN-8478-252,Car
V0253,P0471,SYN-6904-253,Motorcycle
V0254,P0141,SYN-7035-254,SUV
V0255,P0259,SYN-7503-255,Car
V0256,P0349,SYN-1500-256,Motorcycle
V0257,P0191,SYN-9008-257,SUV
V0258,P0091,SYN-8775-258,Van
V0259,P0177,SYN-3679-259,Van
V0260,P0384,SYN-2480-260,Van
V0261,P0015,SYN-7333-261,Car
V0262,P0084,SYN-4511-262,Motorcycle
V0263,P0332,SYN-4688-263,Motorcycle
V0264,P0138,SYN-7709-264,Car
V0265,P0443,SYN-1145-265,SUV
V0266,P0467,SYN-3167-266,Motorcycle
V0267,P0308,SYN-1138-267,Motorcycle
V0268,P0130,SYN-6004-268,Van
V0269,P0217,SYN-7168-269,Van
V0270,P0236,SYN-5128-270,Motorcycle
V0271,P0239,SYN-5950-271,SUV
V0272,P0300,SYN-2676-272,Car
V0273,P0262,SYN-7131-273,Van
V0274,P0153,SYN-2771-274,SUV
V0275,P0033,SYN-6509-275,Van
V0276,P0328,SYN-6327-276,Van
V0277,P0134,SYN-5895-277,Motorcycle
V0278,P0077,SYN-9475-278,Motorcycle
V0279,P0461,SYN-1930-279,SUV
V0280,P0339,SYN-6236-280,Motorcycle
V0281,P0370,SYN-1417-281,SUV
V0282,P0152,SYN-5250-282,SUV
V0283,P0208,SYN-7361-283,Car
V0284,P0299,SYN-4111-284,Van
V0285,P0372,SYN-4643-285,SUV
V0286,P0465,SYN-6873-286,Van
V0287,P0433,SYN-3785-287,Motorcycle
V0288,P0151,SYN-2599-288,SUV
V0289,P0066,SYN-5237-289,Motorcycle
V0290,P0485,SYN-6499-290,Car
V0291,P0114,SYN-6820-291,Motorcycle
V0292,P0382,SYN-6031-292,SUV
V0293,P0404,SYN-6428-293,Van
V0294,P0134,SYN-5817-294,SUV
V0295,P0436,SYN-2929-295,SUV
V0296,P0028,SYN-2166-296,SUV
V0297,P0456,SYN-4187-297,Car
V0298,P0445,SYN-7253-298,Van
V0299,P0212,SYN-1885-299,Motorcycle
V0300,P0071,SYN-4281-300,Van
V0301,P0210,SYN-8496-301,Motorcycle
V0302,P0162,SYN-3954-302,Car
V0303,P0250,SYN-6449-303,Motorcycle
V0304,P0161,SYN-1950-304,Car
V0305,P0232,SYN-5481-305,Motorcycle
V0306,P0390,SYN-3762-306,Motorcycle
V0307,P0251,SYN-2442-307,Motorcycle
V0308,P0315,SYN-8105-308,SUV
V0309,P0207,SYN-8029-309,SUV
V0310,P0197,SYN-1076-310,Car
V0311,P0274,SYN-4267-311,Van
V0312,P0487,SYN-1230-312,Van
V0313,P0388,SYN-9700-313,Motorcycle
V0314,P0010,SYN-1067-314,Motorcycle
V0315,P0116,SYN-6641-315,Van
V0316,P0067,SYN-2682-316,SUV
V0317,P0258,SYN-6015-317,Motorcycle
V0318,P0034,SYN-1749-318,Van
V0319,P0486,SYN-5764-319,SUV
V0320,P0373,SYN-9524-320,Van
V0321,P0223,SYN-3192-321,Van
V0322,P0462,SYN-9031-322,Van
V0323,P0385,SYN-4087-323,Motorcycle
V0324,P0486,SYN-7609-324,Car
V0325,P0117,SYN-4675-325,Motorcycle
V0326,P0109,SYN-1359-326,Motorcycle
V0327,P0064,SYN-7006-327,Car
V0328,P0193,SYN-5190-328,Car
V0329,P0305,SYN-1785-329,Car
V0330,P0335,SYN-1323-330,Car
V0331,P0354,SYN-2897-331,SUV
V0332,P0228,SYN-7230-332,Car
V0333,P0281,SYN-5140-333,SUV
V0334,P0360,SYN-3508-334,Motorcycle
V0335,P0356,SYN-1152-335,Van
V0336,P0216,SYN-2654-336,Van
V0337,P0319,SYN-3247-337,SUV
V0338,P0426,SYN-2718-338,Car
V0339,P0145,SYN-2867-339,Car
V0340,P0255,SYN-4254-340,Motorcycle
V0341,P0399,SYN-5308-341,Motorcycle
V0342,P0184,SYN-7713-342,Van
V0343,P0083,SYN-1645-343,SUV
V0344,P0467,SYN-4402-344,SUV
V0345,P0170,SYN-4842-345,Car
V0346,P0007,SYN-2458-346,Car
V0347,P0428,SYN-9095-347,Motorcycle
V0348,P0487,SYN-2475-348,Car
V0349,P0371,SYN-2659-349,Van
V0350,P0330,SYN-4787-350,SUV
