alert_id,entity_id,alert_type,evidence_id,confidence,explanation
A00042,P0083,UNUSUAL_TRANSACTION,T02844,0.87,Transaction pattern deviates from the synthetic baseline.
A00043,P0025,UNUSUAL_TRANSACTION,C02925,0.64,Transaction pattern deviates from the synthetic baseline.
A00044,P0057,HIGH_CALL_ACTIVITY,C04918,0.91,Repeated communication was detected between connected entities.
A00045,P0040,DENSE_NETWORK_CLUSTER,C04662,0.97,Entity is located in a densely connected synthetic graph cluster.
A00046,P0331,DENSE_NETWORK_CLUSTER,T00693,0.92,Entity is located in a densely connected synthetic graph cluster.
A00047,P0276,HIGH_CALL_ACTIVITY,C04194,0.8,Repeated communication was detected between connected entities.
A00048,P0124,HIGH_CALL_ACTIVITY,C03226,0.83,Repeated communication was detected between connected entities.
A00049,P0230,LOCATION_ASSOCIATION,T02837,0.86,A linked vehicle/person was observed at a monitored synthetic location.
A00050,P0350,DENSE_NETWORK_CLUSTER,C04315,0.64,Entity is located in a densely connected synthetic graph cluster.
A00051,P0074,UNUSUAL_TRANSACTION,C03418,0.64,Transaction pattern deviates from the synthetic baseline.
A00052,P0154,DENSE_NETWORK_CLUSTER,T00128,0.96,Entity is located in a densely connected synthetic graph cluster.
A00053,P0348,UNUSUAL_TRANSACTION,T00216,0.63,Transaction pattern deviates from the synthetic baseline.
A00054,P0483,DENSE_NETWORK_CLUSTER,C04987,0.78,Entity is located in a densely connected synthetic graph cluster.
A00055,P0264,HIGH_CALL_ACTIVITY,T00468,0.89,Repeated communication was detected between connected entities.
A00056,P0320,LOCATION_ASSOCIATION,T01998,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00057,P0414,HIGH_CALL_ACTIVITY,C04663,0.7,Repeated communication was detected between connected entities.
A00058,P0314,LOCATION_ASSOCIATION,T00269,0.92,A linked vehicle/person was observed at a monitored synthetic location.
A00059,P0238,HIGH_CALL_ACTIVITY,C05810,0.74,Repeated communication was detected between connected entities.
A00060,P0419,DENSE_NETWORK_CLUSTER,C05177,0.85,Entity is located in a densely connected synthetic graph cluster.
A00061,P0412,LOCATION_ASSOCIATION,C05145,0.74,A linked vehicle/person was observed at a monitored synthetic location.
A00062,P0435,LOCATION_ASSOCIATION,F00618,0.88,A linked vehicle/person was observed at a monitored synthetic location.
A00063,P0098,HIGH_CALL_ACTIVITY,T02483,0.97,Repeated communication was detected between connected entities.
A00064,P0377,HIGH_CALL_ACTIVITY,C05243,0.64,Repeated communication was detected between connected entities.
A00065,P0463,UNUSUAL_TRANSACTION,C03729,0.86,Transaction pattern deviates from the synthetic baseline.
A00066,P0417,UNUSUAL_TRANSACTION,T00820,0.8,Transaction pattern deviates from the synthetic baseline.
A00067,P0491,HIGH_CALL_ACTIVITY,C01685,0.87,Repeated communication was detected between connected entities.
A00068,P0324,HIGH_CALL_ACTIVITY,F00738,0.65,Repeated communication was detected between connected entities.
A00069,P0269,LOCATION_ASSOCIATION,C00568,0.69,A linked vehicle/person was observed at a monitored synthetic location.
A00070,P0418,UNUSUAL_TRANSACTION,C03159,0.93,Transaction pattern deviates from the synthetic baseline.
A00071,P0315,UNUSUAL_TRANSACTION,T02188,0.88,Transaction pattern deviates from the synthetic baseline.
A00072,P0441,DENSE_NETWORK_CLUSTER,T01618,0.63,Entity is located in a densely connected synthetic graph cluster.
A00073,P0045,LOCATION_ASSOCIATION,C02588,0.92,A linked vehicle/person was observed at a monitored synthetic location.
A00074,P0407,DENSE_NETWORK_CLUSTER,C02980,0.64,Entity is located in a densely connected synthetic graph cluster.
A00075,P0251,UNUSUAL_TRANSACTION,C00244,0.79,Transaction pattern deviates from the synthetic baseline.
A00076,P0474,UNUSUAL_TRANSACTION,C03182,0.87,Transaction pattern deviates from the synthetic baseline.
A00077,P0314,UNUSUAL_TRANSACTION,C01540,0.91,Transaction pattern deviates from the synthetic baseline.
A00078,P0427,UNUSUAL_TRANSACTION,T02767,0.93,Transaction pattern deviates from the synthetic baseline.
A00079,P0092,DENSE_NETWORK_CLUSTER,F00926,0.8,Entity is located in a densely connected synthetic graph cluster.
A00080,P0156,UNUSUAL_TRANSACTION,T00018,0.84,Transaction pattern deviates from the synthetic baseline.
A00081,P0257,HIGH_CALL_ACTIVITY,T02062,0.69,Repeated communication was detected between connected entities.
A00082,P0390,LOCATION_ASSOCIATION,F00868,0.83,A linked vehicle/person was observed at a monitored synthetic location.
A00083,P0457,DENSE_NETWORK_CLUSTER,C05811,0.86,Entity is located in a densely connected synthetic graph cluster.
A00084,P0281,HIGH_CALL_ACTIVITY,C00950,0.8,Repeated communication was detected between connected entities.
A00085,P0269,HIGH_CALL_ACTIVITY,C04394,0.88,Repeated communication was detected between connected entities.
A00086,P0163,LOCATION_ASSOCIATION,C00237,0.94,A linked vehicle/person was observed at a monitored synthetic location.
A00087,P0321,UNUSUAL_TRANSACTION,T01069,0.89,Transaction pattern deviates from the synthetic baseline.
A00088,P0424,UNUSUAL_TRANSACTION,T01931,0.95,Transaction pattern deviates from the synthetic baseline.
A00089,P0427,HIGH_CALL_ACTIVITY,C03401,0.73,Repeated communication was detected between connected entities.
A00090,P0382,LOCATION_ASSOCIATION,T01441,0.94,A linked vehicle/person was observed at a monitored synthetic location.
A00091,P0432,LOCATION_ASSOCIATION,C01185,0.65,A linked vehicle/person was observed at a monitored synthetic location.
A00092,P0455,HIGH_CALL_ACTIVITY,C05720,0.9,Repeated communication was detected between connected entities.
A00093,P0254,DENSE_NETWORK_CLUSTER,F00608,0.93,Entity is located in a densely connected synthetic graph cluster.
A00094,P0159,HIGH_CALL_ACTIVITY,F00010,0.65,Repeated communication was detected between connected entities.
A00095,P0134,UNUSUAL_TRANSACTION,C01016,0.86,Transaction pattern deviates from the synthetic baseline.
A00096,P0440,HIGH_CALL_ACTIVITY,C00270,0.84,Repeated communication was detected between connected entities.
A00097,P0048,UNUSUAL_TRANSACTION,C01439,0.96,Transaction pattern deviates from the synthetic baseline.
A00098,P0321,LOCATION_ASSOCIATION,T00864,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00099,P0298,UNUSUAL_TRANSACTION,T02570,0.87,Transaction pattern deviates from the synthetic baseline.
A00100,P0324,DENSE_NETWORK_CLUSTER,C05703,0.86,Entity is located in a densely connected synthetic graph cluster.
A00101,P0255,DENSE_NETWORK_CLUSTER,C04553,0.71,Entity is located in a densely connected synthetic graph cluster.
A00102,P0105,HIGH_CALL_ACTIVITY,C02395,0.92,Repeated communication was detected between connected entities.
A00103,P0411,HIGH_CALL_ACTIVITY,C03082,0.61,Repeated communication was detected between connected entities.
A00104,P0473,DENSE_NETWORK_CLUSTER,C05066,0.66,Entity is located in a densely connected synthetic graph cluster.
A00105,P0098,HIGH_CALL_ACTIVITY,F00001,0.82,Repeated communication was detected between connected entities.
A00106,P0046,UNUSUAL_TRANSACTION,C05089,0.81,Transaction pattern deviates from the synthetic baseline.
A00107,P0475,UNUSUAL_TRANSACTION,T00871,0.81,Transaction pattern deviates from the synthetic baseline.
A00108,P0139,UNUSUAL_TRANSACTION,T00674,0.96,Transaction pattern deviates from the synthetic baseline.
A00109,P0450,DENSE_NETWORK_CLUSTER,C02267,0.63,Entity is located in a densely connected synthetic graph cluster.
A00110,P0340,HIGH_CALL_ACTIVITY,T01082,0.76,Repeated communication was detected between connected entities.
A00111,P0365,UNUSUAL_TRANSACTION,T00090,0.82,Transaction pattern deviates from the synthetic baseline.
A00112,P0377,HIGH_CALL_ACTIVITY,C02968,0.7,Repeated communication was detected between connected entities.
A00113,P0222,HIGH_CALL_ACTIVITY,T02551,0.66,Repeated communication was detected between connected entities.
A00114,P0416,DENSE_NETWORK_CLUSTER,F00829,0.76,Entity is located in a densely connected synthetic graph cluster.
A00115,P0214,UNUSUAL_TRANSACTION,T01430,0.93,Transaction pattern deviates from the synthetic baseline.
A00116,P0189,LOCATION_ASSOCIATION,C01470,0.69,A linked vehicle/person was observed at a monitored synthetic location.
A00117,P0017,UNUSUAL_TRANSACTION,T00047,0.85,Transaction pattern deviates from the synthetic baseline.
A00118,P0036,HIGH_CALL_ACTIVITY,C00506,0.61,Repeated communication was detected between connected entities.
A00119,P0021,LOCATION_ASSOCIATION,F00042,0.83,A linked vehicle/person was observed at a monitored synthetic location.
A00120,P0374,UNUSUAL_TRANSACTION,C01765,0.92,Transaction pattern deviates from the synthetic baseline.
A00121,P0130,LOCATION_ASSOCIATION,C03610,0.71,A linked vehicle/person was observed at a monitored synthetic location.
A00122,P0406,HIGH_CALL_ACTIVITY,C04113,0.81,Repeated communication was detected between connected entities.
A00123,P0140,UNUSUAL_TRANSACTION,C05527,0.87,Transaction pattern deviates from the synthetic baseline.
A00124,P0064,HIGH_CALL_ACTIVITY,C05920,0.92,Repeated communication was detected between connected entities.
A00125,P0423,DENSE_NETWORK_CLUSTER,T00174,0.67,Entity is located in a densely connected synthetic graph cluster.
A00126,P0009,DENSE_NETWORK_CLUSTER,C03199,0.9,Entity is located in a densely connected synthetic graph cluster.
A00127,P0236,LOCATION_ASSOCIATION,T01135,0.72,A linked vehicle/person was observed at a monitored synthetic location.
A00128,P0215,UNUSUAL_TRANSACTION,F00245,0.63,Transaction pattern deviates from the synthetic baseline.
A00129,P0048,HIGH_CALL_ACTIVITY,F00941,0.71,Repeated communication was detected between connected entities.
A00130,P0324,UNUSUAL_TRANSACTION,C04853,0.88,Transaction pattern deviates from the synthetic baseline.
A00131,P0037,HIGH_CALL_ACTIVITY,T01846,0.65,Repeated communication was detected between connected entities.
A00132,P0443,LOCATION_ASSOCIATION,C01840,0.83,A linked vehicle/person was observed at a monitored synthetic location.
A00133,P0480,DENSE_NETWORK_CLUSTER,C05787,0.61,Entity is located in a densely connected synthetic graph cluster.
A00134,P0261,DENSE_NETWORK_CLUSTER,C03245,0.69,Entity is located in a densely connected synthetic graph cluster.
A00135,P0034,DENSE_NETWORK_CLUSTER,C04292,0.73,Entity is located in a densely connected synthetic graph cluster.
A00136,P0316,LOCATION_ASSOCIATION,T00773,0.67,A linked vehicle/person was observed at a monitored synthetic location.
A00137,P0240,LOCATION_ASSOCIATION,T01218,0.78,A linked vehicle/person was observed at a monitored synthetic location.
A00138,P0231,DENSE_NETWORK_CLUSTER,F00062,0.88,Entity is located in a densely connected synthetic graph cluster.
A00139,P0101,HIGH_CALL_ACTIVITY,C01184,0.84,Repeated communication was detected between connected entities.
A00140,P0445,DENSE_NETWORK_CLUSTER,T01420,0.93,Entity is located in a densely connected synthetic graph cluster.
A00141,P0105,DENSE_NETWORK_CLUSTER,C02432,0.74,Entity is located in a densely connected synthetic graph cluster.
A00142,P0461,DENSE_NETWORK_CLUSTER,T02627,0.67,Entity is located in a densely connected synthetic graph cluster.
A00143,P0087,UNUSUAL_TRANSACTION,C00998,0.71,Transaction pattern deviates from the synthetic baseline.
A00144,P0034,DENSE_NETWORK_CLUSTER,T00049,0.73,Entity is located in a densely connected synthetic graph cluster.
A00145,P0493,UNUSUAL_TRANSACTION,C05373,0.63,Transaction pattern deviates from the synthetic baseline.
A00146,P0485,HIGH_CALL_ACTIVITY,T01204,0.69,Repeated communication was detected between connected entities.
A00147,P0354,LOCATION_ASSOCIATION,C00875,0.67,A linked vehicle/person was observed at a monitored synthetic location.
A00148,P0157,HIGH_CALL_ACTIVITY,C01635,0.78,Repeated communication was detected between connected entities.
A00149,P0045,HIGH_CALL_ACTIVITY,C03601,0.86,Repeated communication was detected between connected entities.
A00150,P0227,HIGH_CALL_ACTIVITY,C02490,0.69,Repeated communication was detected between connected entities.
A00151,P0262,HIGH_CALL_ACTIVITY,C03221,0.97,Repeated communication was detected between connected entities.
A00152,P0132,HIGH_CALL_ACTIVITY,C00934,0.94,Repeated communication was detected between connected entities.
A00153,P0062,HIGH_CALL_ACTIVITY,C02377,0.95,Repeated communication was detected between connected entities.
A00154,P0123,UNUSUAL_TRANSACTION,C02575,0.89,Transaction pattern deviates from the synthetic baseline.
A00155,P0110,UNUSUAL_TRANSACTION,C00062,0.9,Transaction pattern deviates from the synthetic baseline.
A00156,P0241,HIGH_CALL_ACTIVITY,C03685,0.9,Repeated communication was detected between connected entities.
A00157,P0146,LOCATION_ASSOCIATION,C04410,0.93,A linked vehicle/person was observed at a monitored synthetic location.
A00158,P0143,UNUSUAL_TRANSACTION,C05558,0.64,Transaction pattern deviates from the synthetic baseline.
A00159,P0340,DENSE_NETWORK_CLUSTER,C04611,0.83,Entity is located in a densely connected synthetic graph cluster.
A00160,P0276,DENSE_NETWORK_CLUSTER,C00916,0.73,Entity is located in a densely connected synthetic graph cluster.
A00161,P0131,UNUSUAL_TRANSACTION,C00745,0.73,Transaction pattern deviates from the synthetic baseline.
A00162,P0380,HIGH_CALL_ACTIVITY,C05392,0.88,Repeated communication was detected between connected entities.
A00163,P0419,LOCATION_ASSOCIATION,C05020,0.83,A linked vehicle/person was observed at a monitored synthetic location.
A00164,P0027,HIGH_CALL_ACTIVITY,C03263,0.67,Repeated communication was detected between connected entities.
A00165,P0498,HIGH_CALL_ACTIVITY,C01439,0.73,Repeated communication was detected between connected entities.
A00166,P0465,HIGH_CALL_ACTIVITY,T02487,0.92,Repeated communication was detected between connected entities.
A00167,P0094,HIGH_CALL_ACTIVITY,C03989,0.66,Repeated communication was detected between connected entities.
A00168,P0025,UNUSUAL_TRANSACTION,T02280,0.75,Transaction pattern deviates from the synthetic baseline.
A00169,P0056,DENSE_NETWORK_CLUSTER,C02816,0.75,Entity is located in a densely connected synthetic graph cluster.
A00170,P0147,LOCATION_ASSOCIATION,T00334,0.62,A linked vehicle/person was observed at a monitored synthetic location.
A00171,P0264,UNUSUAL_TRANSACTION,T01500,0.79,Transaction pattern deviates from the synthetic baseline.
A00172,P0065,UNUSUAL_TRANSACTION,C01048,0.68,Transaction pattern deviates from the synthetic baseline.
A00173,P0407,LOCATION_ASSOCIATION,T01968,0.83,A linked vehicle/person was observed at a monitored synthetic location.
A00174,P0032,LOCATION_ASSOCIATION,C00891,0.67,A linked vehicle/person was observed at a monitored synthetic location.
A00175,P0409,HIGH_CALL_ACTIVITY,T01997,0.7,Repeated communication was detected between connected entities.
A00176,P0318,HIGH_CALL_ACTIVITY,C00151,0.85,Repeated communication was detected between connected entities.
A00177,P0499,UNUSUAL_TRANSACTION,C03753,0.79,Transaction pattern deviates from the synthetic baseline.
A00178,P0084,LOCATION_ASSOCIATION,T00032,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00179,P0334,HIGH_CALL_ACTIVITY,C01305,0.73,Repeated communication was detected between connected entities.
A00180,P0371,DENSE_NETWORK_CLUSTER,C03862,0.77,Entity is located in a densely connected synthetic graph cluster.
A00181,P0023,HIGH_CALL_ACTIVITY,F00108,0.86,Repeated communication was detected between connected entities.
A00182,P0174,DENSE_NETWORK_CLUSTER,T01234,0.65,Entity is located in a densely connected synthetic graph cluster.
A00183,P0498,DENSE_NETWORK_CLUSTER,C00064,0.88,Entity is located in a densely connected synthetic graph cluster.
A00184,P0110,HIGH_CALL_ACTIVITY,T00172,0.92,Repeated communication was detected between connected entities.
A00185,P0014,DENSE_NETWORK_CLUSTER,C03177,0.73,Entity is located in a densely connected synthetic graph cluster.
A00186,P0289,UNUSUAL_TRANSACTION,T00273,0.76,Transaction pattern deviates from the synthetic baseline.
A00187,P0440,UNUSUAL_TRANSACTION,C02239,0.68,Transaction pattern deviates from the synthetic baseline.
A00188,P0052,DENSE_NETWORK_CLUSTER,C05418,0.62,Entity is located in a densely connected synthetic graph cluster.
A00189,P0270,UNUSUAL_TRANSACTION,C00269,0.72,Transaction pattern deviates from the synthetic baseline.
A00190,P0170,HIGH_CALL_ACTIVITY,C01698,0.76,Repeated communication was detected between connected entities.
A00191,P0492,HIGH_CALL_ACTIVITY,C02100,0.95,Repeated communication was detected between connected entities.
A00192,P0209,LOCATION_ASSOCIATION,C02163,0.97,A linked vehicle/person was observed at a monitored synthetic location.
A00193,P0054,UNUSUAL_TRANSACTION,F00404,0.8,Transaction pattern deviates from the synthetic baseline.
A00194,P0215,LOCATION_ASSOCIATION,C04448,0.78,A linked vehicle/person was observed at a monitored synthetic location.
A00195,P0100,HIGH_CALL_ACTIVITY,C04550,0.63,Repeated communication was detected between connected entities.
A00196,P0056,HIGH_CALL_ACTIVITY,F00826,0.64,Repeated communication was detected between connected entities.
A00197,P0403,DENSE_NETWORK_CLUSTER,T02873,0.95,Entity is located in a densely connected synthetic graph cluster.
A00198,P0458,UNUSUAL_TRANSACTION,T00200,0.67,Transaction pattern deviates from the synthetic baseline.
A00199,P0435,HIGH_CALL_ACTIVITY,T00834,0.89,Repeated communication was detected between connected entities.
A00200,P0037,HIGH_CALL_ACTIVITY,T02506,0.64,Repeated communication was detected between connected entities.
A00201,P0425,LOCATION_ASSOCIATION,T02422,0.77,A linked vehicle/person was observed at a monitored synthetic location.
A00202,P0409,DENSE_NETWORK_CLUSTER,T02183,0.91,Entity is located in a densely connected synthetic graph cluster.
A00203,P0238,UNUSUAL_TRANSACTION,C01220,0.61,Transaction pattern deviates from the synthetic baseline.
A00204,P0298,UNUSUAL_TRANSACTION,F00594,0.69,Transaction pattern deviates from the synthetic baseline.
A00205,P0102,HIGH_CALL_ACTIVITY,C00174,0.95,Repeated communication was detected between connected entities.
A00206,P0232,DENSE_NETWORK_CLUSTER,C02955,0.73,Entity is located in a densely connected synthetic graph cluster.
A00207,P0247,HIGH_CALL_ACTIVITY,C01417,0.74,Repeated communication was detected between connected entities.
A00208,P0190,DENSE_NETWORK_CLUSTER,C02468,0.8,Entity is located in a densely connected synthetic graph cluster.
A00209,P0289,UNUSUAL_TRANSACTION,T00652,0.97,Transaction pattern deviates from the synthetic baseline.
A00210,P0036,LOCATION_ASSOCIATION,T02908,0.84,A linked vehicle/person was observed at a monitored synthetic location.
A00211,P0404,UNUSUAL_TRANSACTION,C01505,0.61,Transaction pattern deviates from the synthetic baseline.
A00212,P0006,HIGH_CALL_ACTIVITY,T01017,0.76,Repeated communication was detected between connected entities.
A00213,P0407,LOCATION_ASSOCIATION,T02790,0.62,A linked vehicle/person was observed at a monitored synthetic location.
A00214,P0278,HIGH_CALL_ACTIVITY,T01830,0.68,Repeated communication was detected between connected entities.
A00215,P0251,DENSE_NETWORK_CLUSTER,F00755,0.83,Entity is located in a densely connected synthetic graph cluster.
A00216,P0404,DENSE_NETWORK_CLUSTER,C03348,0.63,Entity is located in a densely connected synthetic graph cluster.
A00217,P0178,HIGH_CALL_ACTIVITY,T00651,0.72,Repeated communication was detected between connected entities.
A00218,P0146,LOCATION_ASSOCIATION,T02400,0.75,A linked vehicle/person was observed at a monitored synthetic location.
A00219,P0174,DENSE_NETWORK_CLUSTER,C03738,0.84,Entity is located in a densely connected synthetic graph cluster.
A00220,P0188,DENSE_NETWORK_CLUSTER,C04837,0.92,Entity is located in a densely connected synthetic graph cluster.
A00221,P0118,HIGH_CALL_ACTIVITY,T02806,0.9,Repeated communication was detected between connected entities.
A00222,P0358,HIGH_CALL_ACTIVITY,C03109,0.69,Repeated communication was detected between connected entities.
A00223,P0053,LOCATION_ASSOCIATION,C02409,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00224,P0296,UNUSUAL_TRANSACTION,C01311,0.81,Transaction pattern deviates from the synthetic baseline.
A00225,P0216,DENSE_NETWORK_CLUSTER,C03055,0.92,Entity is located in a densely connected synthetic graph cluster.
A00226,P0050,HIGH_CALL_ACTIVITY,T02017,0.73,Repeated communication was detected between connected entities.
A00227,P0220,LOCATION_ASSOCIATION,T02202,0.8,A linked vehicle/person was observed at a monitored synthetic location.
A00228,P0384,HIGH_CALL_ACTIVITY,C00553,0.74,Repeated communication was detected between connected entities.
A00229,P0311,DENSE_NETWORK_CLUSTER,C02748,0.67,Entity is located in a densely connected synthetic graph cluster.
A00230,P0145,HIGH_CALL_ACTIVITY,T02395,0.88,Repeated communication was detected between connected entities.
A00231,P0263,HIGH_CALL_ACTIVITY,T00507,0.95,Repeated communication was detected between connected entities.
A00232,P0302,LOCATION_ASSOCIATION,C04735,0.81,A linked vehicle/person was observed at a monitored synthetic location.
A00233,P0010,UNUSUAL_TRANSACTION,C01220,0.96,Transaction pattern deviates from the synthetic baseline.
A00234,P0015,HIGH_CALL_ACTIVITY,T02592,0.93,Repeated communication was detected between connected entities.
A00235,P0052,HIGH_CALL_ACTIVITY,C01562,0.95,Repeated communication was detected between connected entities.
A00236,P0289,HIGH_CALL_ACTIVITY,C04213,0.83,Repeated communication was detected between connected entities.
A00237,P0149,DENSE_NETWORK_CLUSTER,C03423,0.67,Entity is located in a densely connected synthetic graph cluster.
A00238,P0087,DENSE_NETWORK_CLUSTER,C03733,0.91,Entity is located in a densely connected synthetic graph cluster.
A00239,P0407,LOCATION_ASSOCIATION,F00608,0.81,A linked vehicle/person was observed at a monitored synthetic location.
A00240,P0360,HIGH_CALL_ACTIVITY,T02028,0.88,Repeated communication was detected between connected entities.
A00241,P0024,HIGH_CALL_ACTIVITY,C03726,0.9,Repeated communication was detected between connected entities.
A00242,P0082,UNUSUAL_TRANSACTION,C03820,0.66,Transaction pattern deviates from the synthetic baseline.
A00243,P0107,UNUSUAL_TRANSACTION,T00722,0.86,Transaction pattern deviates from the synthetic baseline.
A00244,P0407,LOCATION_ASSOCIATION,C00645,0.96,A linked vehicle/person was observed at a monitored synthetic location.
A00245,P0385,LOCATION_ASSOCIATION,C01499,0.72,A linked vehicle/person was observed at a monitored synthetic location.
A00246,P0105,HIGH_CALL_ACTIVITY,C05998,0.65,Repeated communication was detected between connected entities.
A00247,P0122,UNUSUAL_TRANSACTION,C03823,0.83,Transaction pattern deviates from the synthetic baseline.
A00248,P0157,HIGH_CALL_ACTIVITY,C00699,0.86,Repeated communication was detected between connected entities.
A00249,P0035,HIGH_CALL_ACTIVITY,C03084,0.84,Repeated communication was detected between connected entities.
A00250,P0105,LOCATION_ASSOCIATION,C02450,0.66,A linked vehicle/person was observed at a monitored synthetic location.
A00251,P0294,LOCATION_ASSOCIATION,C01551,0.8,A linked vehicle/person was observed at a monitored synthetic location.
A00252,P0383,HIGH_CALL_ACTIVITY,C04745,0.68,Repeated communication was detected between connected entities.
A00253,P0190,DENSE_NETWORK_CLUSTER,C05559,0.61,Entity is located in a densely connected synthetic graph cluster.
A00254,P0295,LOCATION_ASSOCIATION,T02998,0.71,A linked vehicle/person was observed at a monitored synthetic location.
A00255,P0359,LOCATION_ASSOCIATION,C05897,0.73,A linked vehicle/person was observed at a monitored synthetic location.
A00256,P0304,UNUSUAL_TRANSACTION,C03508,0.93,Transaction pattern deviates from the synthetic baseline.
A00257,P0205,LOCATION_ASSOCIATION,C04584,0.72,A linked vehicle/person was observed at a monitored synthetic location.
A00258,P0064,LOCATION_ASSOCIATION,T01832,0.71,A linked vehicle/person was observed at a monitored synthetic location.
A00259,P0154,DENSE_NETWORK_CLUSTER,F00692,0.78,Entity is located in a densely connected synthetic graph cluster.
A00260,P0215,LOCATION_ASSOCIATION,C04029,0.66,A linked vehicle/person was observed at a monitored synthetic location.
A00261,P0105,HIGH_CALL_ACTIVITY,C02527,0.9,Repeated communication was detected between connected entities.
A00262,P0316,DENSE_NETWORK_CLUSTER,C00898,0.7,Entity is located in a densely connected synthetic graph cluster.
A00263,P0124,HIGH_CALL_ACTIVITY,C00989,0.84,Repeated communication was detected between connected entities.
A00264,P0061,UNUSUAL_TRANSACTION,C02519,0.64,Transaction pattern deviates from the synthetic baseline.
